x,y,theta,x_dot,y_dot,theta_dot
-1.15,5.0,0.7854,0.2828,0.2828,0
-1.1,5.05,1.5708,0.0,0.4,0
-1.1,5.1,0.7854,0.2828,0.2828,0
-1.05,5.15,1.5708,0.0,0.4,0
-1.05,5.2,0.7854,0.2828,0.2828,0
-1.0,5.25,1.5708,0.0,0.4,0
-1.0,5.3,0.7854,0.2828,0.2828,0
-0.95,5.35,0.7854,0.2828,0.2828,0
-0.9,5.4,1.5708,0.0,0.4,0
-0.9,5.45,0.7854,0.2828,0.2828,0
-0.85,5.5,0.7854,0.2828,0.2828,0
-0.8,5.55,0.7854,0.2828,0.2828,0
-0.75,5.6,1.5708,0.0,0.4,0
-0.75,5.65,0.7854,0.2828,0.2828,0
-0.7,5.7,0.7854,0.2828,0.2828,0
-0.65,5.75,0.7854,0.2828,0.2828,0
-0.6,5.8,0.7854,0.2828,0.2828,0
-0.55,5.85,0.7854,0.2828,0.2828,0
-0.5,5.9,0.7854,0.2828,0.2828,0
-0.45,5.95,0.7854,0.2828,0.2828,0
-0.4,6.0,0.7854,0.2828,0.2828,0
-0.35,6.05,-0.0,0.4,-0.0,0
-0.3,6.05,0.7854,0.2828,0.2828,0
-0.25,6.1,0.7854,0.2828,0.2828,0
-0.2,6.15,0.7854,0.2828,0.2828,0
-0.15,6.2,0.7854,0.2828,0.2828,0
-0.1,6.25,-0.0,0.4,-0.0,0
-0.05,6.25,0.7854,0.2828,0.2828,0
0.0,6.3,0.7854,0.2828,0.2828,0
0.05,6.35,-0.0,0.4,-0.0,0
0.1,6.35,0.7854,0.2828,0.2828,0
0.15,6.4,0.7854,0.2828,0.2828,0
0.2,6.45,-0.0,0.4,-0.0,0
0.25,6.45,0.7854,0.2828,0.2828,0
0.3,6.5,0.7854,0.2828,0.2828,0
0.35,6.55,-0.0,0.4,-0.0,0
0.4,6.55,0.7854,0.2828,0.2828,0
0.45,6.6,-0.0,0.4,-0.0,0
0.5,6.6,0.7854,0.2828,0.2828,0
0.55,6.65,0.7854,0.2828,0.2828,0
0.6,6.7,-0.0,0.4,-0.0,0
0.65,6.7,0.7854,0.2828,0.2828,0
0.7,6.75,-0.0,0.4,-0.0,0
0.75,6.75,0.7854,0.2828,0.2828,0
0.8,6.8,-0.0,0.4,-0.0,0
0.85,6.8,-0.0,0.4,-0.0,0
